sample,Angiogenesis_Score,Growth_Suppression_Score
TCGA-EJ-7781-01A-11R-2118-07,4.644177201686109,4.438080730238047
TCGA-G9-6356-01A-11R-1789-07,4.539428825476079,4.327260184172957
TCGA-23-1032-01A-02R-1564-13,3.2098287436501263,3.389392341044591
TCGA-30-1860-01A-01R-1568-13,4.070694144250017,3.803816769521538
TCGA-20-0991-01A-01R-1564-13,3.9386691751372895,3.604829820785752
TCGA-24-2290-01A-01R-1568-13,4.454572867341073,4.152358989818126
TCGA-13-1403-01A-01R-1565-13,4.06902713903046,3.987818624947502
TCGA-13-0804-01A-01R-1564-13,3.5580012852247314,3.403149971252851
TCGA-10-0926-01A-01R-1564-13,3.7321841518276897,3.685081433090672
TCGA-04-1338-01A-01R-1564-13,4.3885488376448505,3.9782187828060556
TCGA-61-1741-01A-02R-1567-13,4.414018606109993,4.380919144003384
TCGA-24-1103-01A-01R-1565-13,3.7448176745107347,3.673500443013052
TCGA-24-1431-01A-01R-1566-13,3.478454123232215,3.4888240182185966
TCGA-13-1512-01A-01R-1565-13,4.123166208096463,3.9052394124061074
TCGA-59-2351-01A-01R-1569-13,4.355490567244813,4.161778361563075
TCGA-23-1030-01A-02R-1564-13,4.09840201779558,3.885783161896964
TCGA-29-1707-02A-01R-1567-13,4.034231082635819,3.7488495127197607
TCGA-24-1923-01A-01R-1567-13,4.211645357396653,4.110738479609169
TCGA-04-1530-01A-02R-1569-13,4.8584268384890095,4.351390101785
TCGA-20-1685-01A-01R-1566-13,4.07483298690131,4.058099373952653
TCGA-29-1770-02A-01R-1567-13,3.9998472743221805,3.998706770337954
TCGA-61-2094-01A-01R-1568-13,4.669435697638222,4.355352307645068
TCGA-13-0720-01A-01R-1564-13,3.80213667964119,3.791850112985043
TCGA-09-1670-01A-01R-1566-13,4.047810877355303,4.0027972863426395
TCGA-3P-A9WA-01A-11R-A406-31,4.161978972256768,4.110588271674746
TCGA-61-1917-01A-01R-1568-13,3.916785713128414,3.7200905051136397
TCGA-61-2102-01A-01R-1568-13,4.6735689489699155,4.572994942061216
TCGA-24-1425-01A-02R-1566-13,5.083400564814465,4.620770725414509
TCGA-25-1633-01A-01R-1566-13,4.760900364236261,4.524325412033821
TCGA-20-0987-01A-02R-1564-13,3.6539049593607316,3.3550640015128805
TCGA-23-1022-01A-01R-1564-13,3.2243577512911563,3.363681121851306
TCGA-24-1843-01A-01R-1567-13,4.0710620538248445,3.9694590678889057
TCGA-61-2092-01A-01R-1568-13,3.264625449375463,3.4937315572513774
TCGA-25-1320-01A-01R-1565-13,4.838713499205571,4.468340588731004
TCGA-13-1485-01A-02R-1565-13,4.615068679259257,4.2717814351415315
TCGA-30-1866-01A-02R-1568-13,3.7673855812325714,3.645709506359838
TCGA-61-1733-01A-01R-1567-13,4.2280831659417695,4.09818486283039
TCGA-13-1407-01A-01R-1565-13,3.5658981366113536,3.6586300460237475
TCGA-57-1586-01A-02R-1567-13,3.9417430518006555,4.111067229001335
TCGA-13-1509-01A-01R-1565-13,3.967117545985717,3.771589553016018
TCGA-25-2400-01A-01R-1569-13,3.954160701355454,4.105687509559071
TCGA-04-1651-01A-01R-1567-13,3.7067634051155487,3.83876564679621
TCGA-29-1778-01A-01R-1567-13,4.243917132855233,4.0411141846567045
TCGA-61-1743-01A-01R-1568-13,4.0830896318578445,4.09036585307729
TCGA-24-1470-01A-01R-1566-13,4.480030020272213,4.224279637929786
TCGA-61-1724-01A-01R-1568-13,4.24524966405393,4.115515910442757
TCGA-13-0886-01A-01R-1569-13,4.220363554293403,3.9653821913627585
TCGA-24-1427-01A-01R-1565-13,4.758677725107437,4.528909053816021
TCGA-25-1631-01A-01R-1569-13,4.0908650537973505,4.125340054192211
TCGA-61-2003-01A-01R-1568-13,4.902041976871322,4.530932477883206
TCGA-24-1436-01A-01R-1566-13,4.272387240343586,4.0640452978807105
TCGA-13-0920-01A-01R-1564-13,3.6022157750396673,3.6646271550938643
TCGA-10-0931-01A-01R-1564-13,3.2123315911850714,3.162202960282075
TCGA-09-2056-01B-01R-1568-13,3.630982514057647,3.420224637487316
TCGA-09-0366-01A-01R-1564-13,4.102376131906062,4.014275766944637
TCGA-13-0891-01A-01R-1564-13,3.3818514086571856,3.385186504613072
TCGA-29-1783-01A-01R-1567-13,4.286277934055959,4.170216917810107
TCGA-24-1603-01A-01R-1566-13,4.157478107312773,4.138961141513407
TCGA-25-1326-01A-01R-1565-13,4.7000477975280655,4.368617486923199
TCGA-24-1604-01A-01R-1566-13,4.185545059466066,4.112164531869892
TCGA-23-1023-01A-02R-1564-13,4.29819978003202,3.9786354653320184
TCGA-24-1551-01A-01R-1566-13,4.337411110424929,4.094558845038573
TCGA-04-1519-01A-01R-1565-13,3.6688751094829772,3.872591225066612
TCGA-04-1356-01A-01R-1569-13,4.202040537211247,4.01678759455481
TCGA-25-2393-01A-01R-1569-13,3.857000328116339,3.75939951777349
TCGA-24-1426-01A-01R-1565-13,3.7939608865877315,3.917402319031372
TCGA-13-0884-01B-01R-1565-13,3.6570680851355553,3.627788724971499
TCGA-10-0934-01A-02R-1564-13,2.7810260066087333,2.9760164987017528
TCGA-13-1477-01A-01R-1565-13,3.6883642455243453,3.709474486327169
TCGA-13-1489-02A-01R-1565-13,3.668602466020829,3.437701157375644
TCGA-13-1496-01A-01R-1565-13,3.6063616821370617,3.4906453617103845
TCGA-09-1674-01A-01R-1566-13,4.285630659097491,4.487345738520683
TCGA-24-1557-01A-01R-1566-13,4.152127772529193,4.182971241018976
TCGA-13-1510-01A-02R-1565-13,3.693892055132561,3.7157093689509684
TCGA-61-2098-01A-01R-1568-13,4.345955014293236,4.587662966615656
TCGA-24-1556-01A-01R-1566-13,4.4352640827187155,4.3035407324013155
TCGA-25-1316-01A-01R-1565-13,3.9427434565851804,4.140407771369612
TCGA-24-1844-01A-01R-1567-13,3.99237659994847,4.097127872232703
TCGA-24-1434-01A-01R-1566-13,4.954543020701405,4.44550131697989
TCGA-61-2111-01A-01R-1568-13,4.472700933814313,4.41736888829492
TCGA-13-0730-01A-01R-1564-13,4.050836227849306,4.261374228135073
TCGA-61-2109-01A-01R-1568-13,4.088519024782942,4.119600277328
